Date and Time:                Thu Feb 2 16:57:25.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         2.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              283
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
281.46381	363
281.48486	363
281.50592	382
281.52698	382
281.548	386
281.56906	394
281.59012	404
281.61118	415
281.6322	425
281.65326	416
281.67432	436
281.69537	440
281.71643	457
281.73746	471
281.75851	480
281.77957	492
281.8006	500
281.82166	508
281.84271	536
281.86377	546
281.8848	559
281.90585	562
281.92691	584
281.94794	595
281.96899	594
281.99002	617
282.01108	620
282.03214	643
282.05316	644
282.07422	659
282.09528	671
282.1163	682
282.13736	691
282.15839	704
282.17944	715
282.2005	720
282.22153	733
282.24258	728
282.26361	735
282.28467	757
282.30569	754
282.32675	768
282.34778	761
282.36884	776
282.38986	780
282.41092	773
282.43195	781
282.453	797
282.47403	781
282.49509	785
282.51611	782
282.53717	798
282.5582	811
282.57925	806
282.60028	805
282.62131	809
282.64236	811
282.66339	824
282.68445	837
282.70547	849
282.7265	853
282.74756	869
282.76859	896
282.78964	944
282.81067	969
282.8317	1018
282.85275	1059
282.87378	1132
282.89481	1205
282.91586	1283
282.93689	1384
282.95792	1528
282.97897	1681
283	1908
283.02103	2124
283.04205	2439
283.06311	2850
283.08414	3341
283.10516	3960
283.12619	4760
283.14725	5723
283.16827	6916
283.1893	8442
283.21033	10396
283.23135	12912
283.25241	16014
283.27344	19764
283.29446	23682
283.31549	27490
283.33652	30714
283.35757	33220
283.3786	34639
283.39963	35042
283.42065	34758
283.44168	33909
283.46271	32639
283.48373	30989
283.50479	29304
283.52582	28046
283.54684	26898
283.56787	25800
283.5889	24842
283.60992	23678
283.63095	22527
283.65198	21413
283.673	19994
283.69403	18418
283.71506	16821
283.73608	15152
283.75711	13499
283.77814	11977
283.79916	10461
283.82019	9044
283.84122	7806
283.86224	6669
283.88327	5672
283.9043	4896
283.92532	4204
283.94635	3642
283.96738	3167
283.9884	2740
284.00943	2401
284.03046	2096
284.05148	1889
284.07251	1668
284.09354	1486
284.11453	1360
284.13556	1219
284.15659	1132
284.17761	1025
284.19864	954
284.21967	883
284.24069	843
284.26169	779
284.28271	734
284.30374	698
284.32477	654
284.34579	628
284.36682	589
284.38782	570
284.40884	555
284.42987	532
284.4509	509
284.47189	504
284.49292	479
284.51395	468
284.53497	460
284.55597	450
284.577	442
284.59802	430
284.61905	423
284.64005	408
284.66107	413
284.6821	405
284.70309	397
284.72412	394
284.74515	389
284.76614	385
284.78717	372
284.8082	379
284.82919	374
284.85022	369
284.87122	365
284.89224	361
284.91327	364
284.93427	353
284.95529	352
284.97629	354
284.99731	354
285.01834	348
285.03934	346
285.06036	350
285.08136	347
285.10239	344
285.12338	344
285.14441	336
285.16541	340
285.18643	343
285.20743	339
285.22845	342
285.24945	342
285.27048	336
285.29147	327
285.3125	334
285.3335	334
285.35452	328
285.37552	333
285.39651	334
285.41754	329
285.43854	323
285.45956	328
285.48056	324
285.50156	329
285.52258	326
285.54358	328
285.56461	325
285.5856	327
285.6066	328
285.62762	326
285.64862	323
285.66962	324
285.69064	327
285.71164	323
285.73264	325
285.75366	319
285.77466	314
285.79565	320
285.81665	323
285.83768	317
285.85867	321
285.87967	326
285.90067	319
285.92169	318
285.94269	316
285.96368	319
285.98468	315
286.00571	325
286.0267	319
286.0477	317
286.0687	320
286.08969	317
286.11069	320
286.13171	316
286.15271	320
286.17371	318
286.1947	311
286.2157	320
286.23669	318
286.25769	314
286.27869	320
286.29971	318
286.32071	311
286.34171	318
286.3627	316
286.3837	317
286.40469	315
286.42569	314
286.44669	313
286.46768	313
286.48868	319
286.50967	317
286.53067	312
286.55167	315
286.57266	321
286.59366	314
286.61465	321
286.63565	309
286.65665	309
286.67764	313
286.69864	311
286.71964	313
286.74063	314
286.76163	310
286.78262	313
286.80362	317
286.82458	311
286.84558	309
286.86658	309
286.88757	315
286.90857	304
286.92957	314
286.95056	310
286.97156	314
286.99252	307
287.01352	311
287.03452	313
287.05551	307
287.07651	306
287.0975	314
287.11847	311
287.13947	318
287.16046	311
287.18146	314
287.20242	308
287.22342	305
287.24442	311
287.26541	309
287.28638	316
287.30737	307
287.32837	316
287.34937	312
287.37033	317
287.39133	309
287.41232	304
287.43329	308
287.45428	311
287.47528	311
287.49625	306
287.51724	309
287.53824	313
287.5592	312
287.5802	308
287.60117	312
287.62216	312
287.64316	306
287.66412	313
287.68512	312
287.70609	308
287.72708	303
287.74808	316
287.76904	312
287.79004	307
287.811	314
287.832	307
287.85297	307
287.87396	313
287.89493	311
287.91592	305
287.93689	303
287.95789	309
287.97885	304
287.99985	313
288.02081	317
288.04181	309
288.06277	302
288.08374	314
288.10474	314
288.1257	312
288.1467	310
288.16766	308
288.18866	309
288.20963	305
288.23059	307
288.25159	306
288.27255	308
288.29352	310
288.31451	316
288.33548	306
288.35645	304
288.37744	306
288.39841	304
288.41937	309
288.44037	300
288.46133	303
288.4823	311
288.5033	311
288.52426	308
288.54523	310
288.56619	312
288.58719	307
288.60815	309
288.62912	307
288.65009	306
288.67105	312
288.69205	305
288.71301	314
288.73398	315
288.75494	311
288.77591	299
288.79691	305
288.81787	310
288.83884	310
288.8598	309
288.88077	311
288.90173	306
288.9227	308
288.9437	309
288.96466	310
288.98563	304
289.00659	310
289.02756	307
289.04852	311
289.06949	317
289.09045	309
289.11142	306
289.13239	306
289.15335	304
289.17432	314
289.19528	307
289.21625	311
289.23721	305
289.25818	305
289.27914	304
289.30011	306
289.32108	309
289.34204	307
289.36301	302
289.38397	307
289.40494	309
289.4259	305
289.44687	304
289.46783	306
289.4888	309
289.50977	307
289.5307	307
289.55167	309
289.57263	308
289.5936	309
289.61456	308
289.63553	302
289.65649	306
289.67746	305
289.69839	303
289.71936	312
289.74033	302
289.76129	311
289.78226	302
289.80319	310
289.82416	303
289.84512	302
289.86609	308
289.88702	310
289.90799	313
289.92896	311
289.94992	300
