Date and Time:                Sat Nov 11 15:11:50.000 2023
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.02
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              300
Grating Groove Density (l/mm):1199.47
Grating Blaze:                500
Output Flipper Port:          Direct
296.81363	12226
296.83463	12190
296.85559	12197
296.87659	12248
296.89755	12232
296.91855	12261
296.93951	12292
296.96051	12306
296.98148	12321
297.00244	12286
297.02344	12284
297.0444	12351
297.0654	12336
297.08636	12407
297.10733	12347
297.12833	12391
297.14929	12366
297.17029	12425
297.19125	12472
297.21222	12453
297.23322	12489
297.25418	12534
297.27515	12491
297.29614	12493
297.31711	12508
297.33807	12566
297.35904	12593
297.38004	12646
297.401	12593
297.42197	12618
297.44296	12647
297.46393	12621
297.48489	12708
297.50586	12710
297.52686	12735
297.54782	12718
297.56879	12742
297.58975	12778
297.61072	12736
297.63171	12795
297.65268	12820
297.67365	12815
297.69461	12863
297.71558	12896
297.73654	12910
297.75754	12875
297.7785	12923
297.79947	12890
297.82043	12896
297.8414	12893
297.86237	12934
297.88333	12973
297.9043	12994
297.92526	12972
297.94626	13006
297.96722	13032
297.98819	13023
298.00916	12980
298.03012	13006
298.05109	12971
298.07205	13029
298.09302	12976
298.11398	13053
298.13495	13085
298.15591	13064
298.17688	13099
298.19785	13068
298.21881	13090
298.23978	13083
298.26074	13060
298.28171	13093
298.30267	13159
298.32364	13111
298.3446	13143
298.36557	13164
298.38654	13219
298.40747	13232
298.42844	13225
298.4494	13258
298.47037	13295
298.49133	13214
298.5123	13309
298.53326	13307
298.55423	13388
298.5752	13353
298.59613	13363
298.6171	13388
298.63806	13424
298.65903	13425
298.67999	13422
298.70093	13429
298.72189	13466
298.74286	13456
298.76382	13509
298.78479	13496
298.80573	13570
298.82669	13623
298.84766	13553
298.86862	13623
298.88956	13635
298.91052	13609
298.93149	13628
298.95245	13620
298.97339	13598
298.99435	13651
299.01532	13657
299.03625	13649
299.05722	13726
299.07819	13733
299.09912	13744
299.12009	13799
299.14105	13775
299.16199	13717
299.18295	13812
299.20392	13794
299.22485	13872
299.24582	13841
299.26675	13864
299.28772	13932
299.30869	13913
299.32962	13886
299.35059	13883
299.37152	13980
299.39249	13996
299.41342	13999
299.43439	14013
299.45535	14040
299.47629	14025
299.49725	14066
299.51819	14065
299.53915	14102
299.56009	14184
