# wl center%tx left%tx right%tx top%tx bottom%tx
 261.31515  0.00586  0.00541  0.00045  0.00901  0.00541
 261.33638  0.00269 -0.00672  0.00314  0.00000  0.00224
 261.35757  0.00848  0.00580  0.00625  0.00580  0.00446
 261.37877  0.00044 -0.00044  0.00221  0.00443  0.00266
 261.39999 -0.00177 -0.00309 -0.00177  0.00441  0.00309
 261.42118  0.00442  0.00486  0.00088 -0.00088  0.00353
 261.44241  0.00620  0.00000  0.00487  0.00310  0.00089
 261.46360  0.00222  0.00089  0.00311  0.00133  0.00089
 261.48480 -0.00089  0.00356  0.00267 -0.00045  0.00000
 261.50602  0.00357  0.00580  0.00089  0.00267  0.00580
 261.52722 -0.00178 -0.00134  0.00045 -0.00045  0.00134
 261.54841 -0.00045  0.00401  0.00000 -0.00802  0.00089
 261.56963 -0.00445 -0.00578 -0.00845 -0.00534 -0.00222
 261.59083  0.00578 -0.00044  0.00756  0.00489  0.00534
 261.61202 -0.00045  0.00979  0.00623  0.00712  0.00668
 261.63325  0.01019  0.00310 -0.00133  0.00044  0.00133
 261.65444  0.00088  0.00264 -0.00132  0.00352  0.00440
 261.67564  0.00352  0.00176  0.00220  0.00132  0.00264
 261.69686  0.00308  0.00000 -0.00264 -0.00044 -0.00088
 261.71805  0.00309  0.00132  0.00397  0.00397 -0.00177
 261.73925  0.00088  0.00662  0.00309  0.00839  0.00839
 261.76047  0.00177  0.00486  0.00398  0.00663  0.00618
 261.78167  0.00795  0.00795  0.00750  0.00795  0.00750
 261.80286  0.00176  0.00264  0.00925 -0.00176  0.00353
 261.82409  0.00747  0.00790  0.00527  0.00132  0.00966
 261.84528  0.00131  0.00307  0.00219  0.00613  0.00701
 261.86647  0.00395  0.00088  0.00132 -0.00088  0.00703
 261.88767  0.00396 -0.00044 -0.00132  0.00308  0.00352
 261.90889  0.00000  0.00394  0.00525  0.00831  0.00175
 261.93009  0.00000  0.00000  0.00304  0.00000  0.00348
 261.95128 -0.00348  0.00565  0.00521 -0.00174 -0.00087
 261.97248  0.00519  0.00260  0.00260  0.00346  0.00779
 261.99370  0.00173 -0.00173  0.00303  0.00346  0.00562
 262.01489  0.00259  0.00216  0.00302  0.00475  0.00562
 262.03609  0.00987 -0.00086  0.00816  0.00859  0.00558
 262.05728  0.00256  0.00341  0.00938  0.00171 -0.00128
 262.07848  0.00085 -0.00256  0.00000 -0.00085  0.00256
 262.09970 -0.00128 -0.00213 -0.00170 -0.00255  0.00213
 262.12090  0.00681 -0.00128  0.00469  0.00809  0.00511
 262.14209  0.00852  0.00128  0.00426  0.00043  0.00256
 262.16328  0.00509  0.00255  0.00127  0.00807  0.00340
 262.18448  0.00550 -0.00042  0.00000 -0.00085  0.00000
 262.20570  0.01268  0.01268  0.00930  0.01057  0.00803
 262.22690  0.00169  0.00211  0.00254  0.00127  0.00211
 262.24809  0.00462  0.00252 -0.00042 -0.00252 -0.00084
 262.26928 -0.00210 -0.00923 -0.00252 -0.00378 -0.00545
 262.29047  0.01006  0.00545  0.00545  0.00713  0.00629
 262.31166  0.00460  0.00167  0.00084  0.00000  0.00293
 262.33286  0.00543 -0.00167  0.00627  0.00292  0.00292
 262.35408  0.00625  0.00542  0.00333  0.00833  0.00708
 262.37528  0.00126 -0.00251 -0.00419 -0.00042  0.00042
 262.39647  0.00377  0.00460  0.00042 -0.00209  0.00502
 262.41767  0.00252 -0.00252 -0.00042  0.00084 -0.00042
 262.43886 -0.00421 -0.00126 -0.00210 -0.00337  0.00084
 262.46005 -0.00210  0.00126  0.00379 -0.00168  0.00505
 262.48125 -0.00167  0.00377  0.00670  0.00251  0.00209
 262.50244  0.00544  0.00796  0.00586  0.00461  0.00796
 262.52364  0.00252  0.00336 -0.00042  0.00629  0.00336
 262.54483 -0.00334 -0.00083  0.00500  0.00125  0.00375
 262.56603 -0.00166  0.00000  0.00041 -0.00249  0.00166
 262.58722  0.00457 -0.00540  0.00083  0.00540  0.00125
 262.60841 -0.00208 -0.00540 -0.00374 -0.00332 -0.00249
 262.62964 -0.00539 -0.00083  0.00331  0.00000  0.00787
 262.65083  0.00739  0.00616  0.00904  0.00411  0.01027
 262.67203  0.00533  0.00533  0.00369  0.00328  0.00574
 262.69322 -0.00204 -0.00572 -0.00123 -0.00123  0.00000
 262.71442  0.00612  0.00449  0.00817  0.00817  0.00612
 262.73561  0.00203  0.00081 -0.00244 -0.00447 -0.00163
 262.75680 -0.00162 -0.00406 -0.00284 -0.00284 -0.00081
 262.77800  0.00569  0.00406  0.00244  0.00162  0.00731
 262.79919  0.00041 -0.00327 -0.00041  0.00694  0.00245
 262.82039  0.00122 -0.00163  0.00244  0.00122 -0.00529
 262.84158  0.00936  0.00569  0.00691  0.00691  0.01261
 262.86278  0.00650  0.00650  0.00610  0.00366  0.00732
 262.88397  0.00491  0.00614  0.00532  0.00655  0.00123
 262.90513  0.01059  0.00733  0.00489  0.00896  0.00611
 262.92633  0.00529  0.00244  0.00163  0.00611  0.00204
 262.94752  0.00367  0.00163  0.00327  0.00286  0.00163
 262.96872  0.00164 -0.00041  0.00655  0.00573  0.00369
 262.98991 -0.00041 -0.00041 -0.00082  0.00286 -0.00163
 263.01111  0.00122  0.00162  0.00000  0.00041 -0.00122
 263.03230  0.00162  0.00081  0.00323  0.00283  0.00283
 263.05348  0.00040  0.00683  0.00442  0.00442  0.00080
 263.07468  0.00120  0.00161  0.00120  0.00201  0.00201
 263.09587  0.00683  0.00281  0.00522  0.00442  0.00121
